detail_id,invoice_id,product_id,ten_san_pham,so_luong,don_gia,giam_gia_pct,thanh_tien
145,39,49,Bánh cuốn #49,2,781000,0,1562000
146,39,57,Ốp lưng điện thoại #57,4,16000,15,54400
147,39,26,Xiaomi 14T,8,263000,0,2104000
148,39,7,Nước chanh,8,645000,15,4386000
149,39,18,Bánh tráng trộn,1,43000,0,43000
150,40,8,Soda chanh leo,4,1004000,10,3614400
151,40,33,Pin dự phòng 10000mAh,7,379000,0,2653000
152,40,60,Ốp lưng điện thoại #60,4,337000,10,1213200
153,40,21,Bánh flan,4,557000,10,2005200
154,40,10,Xôi gà,3,297000,10,801900
155,40,7,Nước chanh,9,645000,5,5514750
156,41,10,Xôi gà,7,297000,10,1871100
157,41,17,Khoai tây chiên,6,447000,15,2279700
158,41,18,Bánh tráng trộn,3,43000,10,116100
159,41,60,Ốp lưng điện thoại #60,10,337000,5,3201500
160,42,44,OPPO Reno12 #44,9,1171000,15,8958150
161,42,35,Kính cường lực,5,490000,0,2450000
162,42,25,Samsung Galaxy A55,8,564000,5,4286400
163,42,21,Bánh flan,7,557000,0,3899000
164,42,39,Samsung Galaxy A55 #39,1,482000,0,482000
165,42,49,Bánh cuốn #49,10,781000,0,7810000
166,43,5,Sinh tố bơ,9,570000,10,4617000
167,43,27,OPPO Reno12,10,556000,10,5004000
168,43,60,Ốp lưng điện thoại #60,3,337000,0,1011000
169,44,25,Samsung Galaxy A55,10,564000,5,5358000
170,44,24,iPhone 15,10,26000,0,260000
171,44,26,Xiaomi 14T,2,263000,15,447100
172,44,33,Pin dự phòng 10000mAh,6,379000,5,2160300
173,44,9,Bánh mì thịt,3,528000,5,1504800
174,45,39,Samsung Galaxy A55 #39,7,482000,5,3205300
175,45,9,Bánh mì thịt,2,528000,0,1056000
176,45,7,Nước chanh,10,645000,0,6450000
177,45,36,Nước cam #36,7,9000,0,63000
178,45,37,Cáp sạc USB-C #37,5,444000,10,1998000
179,46,24,iPhone 15,10,26000,10,234000
180,46,15,Cháo sườn,9,442000,0,3978000
181,46,7,Nước chanh,4,645000,5,2451000
182,46,41,Mì Quảng #41,5,15000,5,71250
183,46,45,Xiaomi 14T #45,3,867000,0,2601000
184,46,39,Samsung Galaxy A55 #39,6,482000,0,2892000
185,47,41,Mì Quảng #41,9,15000,5,128250
186,48,20,Nem chua,7,704000,0,4928000
187,48,57,Ốp lưng điện thoại #57,10,16000,0,160000
188,48,25,Samsung Galaxy A55,2,564000,15,958800
189,48,59,Nem chua #59,7,194000,5,1290100
190,48,8,Soda chanh leo,6,1004000,0,6024000
191,48,13,Cơm gà,4,128000,0,512000
192,49,45,Xiaomi 14T #45,4,867000,0,3468000
193,49,15,Cháo sườn,6,442000,0,2652000
194,49,6,Trà sữa trân châu,2,77000,0,154000
195,50,11,Phở bò,4,104000,15,353600
196,50,33,Pin dự phòng 10000mAh,9,379000,0,3411000
197,50,45,Xiaomi 14T #45,4,867000,10,3121200
198,50,48,Kính cường lực #48,9,245000,0,2205000
199,50,5,Sinh tố bơ,9,570000,5,4873500
200,50,17,Khoai tây chiên,10,447000,15,3799500
201,51,7,Nước chanh,4,645000,15,2193000
202,51,28,Vivo V30,10,437000,0,4370000
203,52,38,iPhone 15 #38,5,190000,15,807500
204,52,10,Xôi gà,7,297000,0,2079000
205,52,5,Sinh tố bơ,7,570000,10,3591000
206,53,51,iPhone 15 #51,9,325000,15,2486250
207,53,47,Chè đậu đỏ #47,1,710000,0,710000
208,54,5,Sinh tố bơ,6,570000,0,3420000
209,54,37,Cáp sạc USB-C #37,5,444000,0,2220000
210,55,60,Ốp lưng điện thoại #60,5,337000,0,1685000
211,56,57,Ốp lưng điện thoại #57,10,16000,0,160000
212,56,24,iPhone 15,7,26000,0,182000
213,56,43,Xôi gà #43,10,390000,0,3900000
214,56,25,Samsung Galaxy A55,8,564000,10,4060800
215,57,13,Cơm gà,9,128000,0,1152000
216,57,33,Pin dự phòng 10000mAh,7,379000,0,2653000
217,58,18,Bánh tráng trộn,6,43000,0,258000
218,59,27,OPPO Reno12,1,556000,10,500400
219,59,15,Cháo sườn,10,442000,0,4420000
220,59,20,Nem chua,10,704000,10,6336000
221,59,10,Xôi gà,10,297000,0,2970000
222,59,13,Cơm gà,10,128000,0,1280000
223,59,9,Bánh mì thịt,4,528000,15,1795200
224,60,48,Kính cường lực #48,8,245000,0,1960000
225,60,38,iPhone 15 #38,3,190000,0,570000
226,60,18,Bánh tráng trộn,4,43000,0,172000
227,60,39,Samsung Galaxy A55 #39,7,482000,0,3374000
228,60,49,Bánh cuốn #49,5,781000,5,3709750
229,61,49,Bánh cuốn #49,7,781000,5,5193650
230,61,35,Kính cường lực,1,490000,10,441000
231,61,47,Chè đậu đỏ #47,7,710000,15,4224500
232,61,25,Samsung Galaxy A55,6,564000,5,3214800
233,62,25,Samsung Galaxy A55,9,564000,10,4568400
234,63,20,Nem chua,5,704000,5,3344000
235,64,7,Nước chanh,8,645000,15,4386000
236,64,57,Ốp lưng điện thoại #57,8,16000,0,128000
237,64,15,Cháo sườn,9,442000,0,3978000
238,65,45,Xiaomi 14T #45,8,867000,10,6242400
239,65,5,Sinh tố bơ,4,570000,5,2166000
240,65,18,Bánh tráng trộn,2,43000,0,86000
241,66,45,Xiaomi 14T #45,9,867000,5,7412850
242,66,38,iPhone 15 #38,1,190000,0,190000
243,66,9,Bánh mì thịt,6,528000,10,2851200
244,66,39,Samsung Galaxy A55 #39,3,482000,0,1446000
245,66,17,Khoai tây chiên,3,447000,0,1341000
246,66,20,Nem chua,1,704000,5,668800
247,67,13,Cơm gà,4,128000,0,512000
248,68,49,Bánh cuốn #49,4,781000,0,3124000
249,69,25,Samsung Galaxy A55,9,564000,0,5076000
250,70,15,Cháo sườn,1,442000,15,375700
251,71,17,Khoai tây chiên,10,447000,15,3799500
252,71,28,Vivo V30,10,437000,10,3933000
253,72,33,Pin dự phòng 10000mAh,6,379000,0,2274000
254,73,13,Cơm gà,9,128000,5,1094400
255,73,11,Phở bò,9,104000,0,936000
256,73,27,OPPO Reno12,4,556000,10,2001600
257,73,36,Nước cam #36,1,9000,0,9000
258,74,28,Vivo V30,3,437000,10,1179900
259,74,44,OPPO Reno12 #44,10,1171000,5,11124500
260,74,35,Kính cường lực,9,490000,15,3748500
261,74,26,Xiaomi 14T,8,263000,5,1998800
262,74,37,Cáp sạc USB-C #37,3,444000,10,1198800
263,74,47,Chè đậu đỏ #47,4,710000,15,2414000
264,75,21,Bánh flan,10,557000,5,5291500
265,76,1,Cà phê đen,5,631000,0,3155000
266,76,20,Nem chua,2,704000,0,1408000
267,77,36,Nước cam #36,3,9000,0,27000
268,77,41,Mì Quảng #41,6,15000,0,90000
269,77,5,Sinh tố bơ,8,570000,5,4332000
270,78,36,Nước cam #36,5,9000,10,40500
271,78,47,Chè đậu đỏ #47,6,710000,10,3834000
272,78,43,Xôi gà #43,9,390000,0,3510000
273,78,7,Nước chanh,4,645000,10,2322000
274,78,57,Ốp lưng điện thoại #57,6,16000,0,96000
275,79,59,Nem chua #59,5,194000,15,824500
276,79,17,Khoai tây chiên,6,447000,15,2279700
277,79,39,Samsung Galaxy A55 #39,1,482000,0,482000
278,79,18,Bánh tráng trộn,7,43000,0,301000
279,79,11,Phở bò,8,104000,0,832000
280,79,44,OPPO Reno12 #44,6,1171000,5,6674700
281,80,20,Nem chua,2,704000,5,1337600
282,81,57,Ốp lưng điện thoại #57,2,16000,10,28800
283,81,33,Pin dự phòng 10000mAh,3,379000,0,1137000
284,81,35,Kính cường lực,1,490000,5,465500
285,81,15,Cháo sườn,7,442000,15,2629900
286,82,47,Chè đậu đỏ #47,9,710000,15,5431500
287,82,6,Trà sữa trân châu,5,77000,0,385000
288,82,10,Xôi gà,10,297000,0,2970000
289,83,45,Xiaomi 14T #45,3,867000,0,2601000
290,83,11,Phở bò,5,104000,0,520000
291,83,27,OPPO Reno12,1,556000,10,500400
292,84,28,Vivo V30,3,437000,0,1311000
293,84,25,Samsung Galaxy A55,5,564000,10,2538000
294,85,7,Nước chanh,7,645000,0,4515000
295,85,10,Xôi gà,10,297000,10,2673000
296,85,39,Samsung Galaxy A55 #39,8,482000,10,3470400
297,85,60,Ốp lưng điện thoại #60,6,337000,0,2022000
298,85,9,Bánh mì thịt,6,528000,0,3168000
299,85,21,Bánh flan,9,557000,0,5013000
300,86,47,Chè đậu đỏ #47,4,710000,0,2840000
301,86,48,Kính cường lực #48,10,245000,0,2450000
302,86,24,iPhone 15,6,26000,5,148200
303,87,11,Phở bò,3,104000,0,312000
304,87,37,Cáp sạc USB-C #37,6,444000,10,2397600
305,87,48,Kính cường lực #48,10,245000,0,2450000
306,87,47,Chè đậu đỏ #47,9,710000,0,6390000
307,88,47,Chè đậu đỏ #47,3,710000,5,2023500
308,88,41,Mì Quảng #41,7,15000,0,105000
309,88,43,Xôi gà #43,6,390000,0,2340000
310,88,25,Samsung Galaxy A55,10,564000,5,5358000
311,88,60,Ốp lưng điện thoại #60,7,337000,10,2123100
312,89,49,Bánh cuốn #49,2,781000,10,1405800
313,90,8,Soda chanh leo,8,1004000,15,6827200
314,90,10,Xôi gà,1,297000,0,297000
315,90,39,Samsung Galaxy A55 #39,4,482000,0,1928000
316,90,35,Kính cường lực,10,490000,15,4165000
317,91,45,Xiaomi 14T #45,5,867000,10,3901500
318,91,20,Nem chua,5,704000,5,3344000
319,91,21,Bánh flan,6,557000,0,3342000
320,91,35,Kính cường lực,10,490000,0,4900000
321,92,1,Cà phê đen,9,631000,0,5679000
322,93,35,Kính cường lực,9,490000,0,4410000
323,93,39,Samsung Galaxy A55 #39,3,482000,5,1373700
324,93,41,Mì Quảng #41,3,15000,0,45000
325,93,44,OPPO Reno12 #44,9,1171000,5,10012050
326,94,5,Sinh tố bơ,3,570000,15,1453500
327,95,47,Chè đậu đỏ #47,7,710000,10,4473000
328,95,44,OPPO Reno12 #44,8,1171000,5,8899600
329,95,18,Bánh tráng trộn,6,43000,0,258000
330,95,51,iPhone 15 #51,3,325000,5,926250
331,96,43,Xôi gà #43,1,390000,0,390000
332,96,59,Nem chua #59,10,194000,5,1843000
333,96,38,iPhone 15 #38,6,190000,0,1140000
334,97,47,Chè đậu đỏ #47,9,710000,10,5751000
335,97,57,Ốp lưng điện thoại #57,2,16000,0,32000
336,97,9,Bánh mì thịt,8,528000,15,3590400
337,98,1,Cà phê đen,7,631000,0,4417000
338,98,48,Kính cường lực #48,5,245000,0,1225000
339,98,47,Chè đậu đỏ #47,3,710000,0,2130000
340,98,51,iPhone 15 #51,10,325000,15,2762500
341,98,36,Nước cam #36,5,9000,15,38250
342,99,28,Vivo V30,10,437000,0,4370000
343,100,26,Xiaomi 14T,5,263000,0,1315000
344,100,13,Cơm gà,1,128000,15,108800
345,100,27,OPPO Reno12,2,556000,10,1000800
346,101,26,Xiaomi 14T,8,263000,0,2104000
347,101,25,Samsung Galaxy A55,9,564000,0,5076000
348,102,39,Samsung Galaxy A55 #39,4,482000,10,1735200
349,102,25,Samsung Galaxy A55,6,564000,0,3384000
350,102,45,Xiaomi 14T #45,5,867000,0,4335000
351,102,17,Khoai tây chiên,1,447000,0,447000
352,103,24,iPhone 15,9,26000,5,222300
353,103,39,Samsung Galaxy A55 #39,1,482000,0,482000
354,103,48,Kính cường lực #48,8,245000,5,1862000
355,103,26,Xiaomi 14T,6,263000,10,1420200
356,103,15,Cháo sườn,1,442000,0,442000
357,104,10,Xôi gà,8,297000,15,2019600
358,104,26,Xiaomi 14T,4,263000,15,894200
359,104,41,Mì Quảng #41,10,15000,0,150000
360,105,1,Cà phê đen,7,631000,0,4417000
361,106,5,Sinh tố bơ,10,570000,0,5700000
362,107,11,Phở bò,2,104000,15,176800
363,107,9,Bánh mì thịt,3,528000,0,1584000
364,107,13,Cơm gà,5,128000,5,608000
365,107,39,Samsung Galaxy A55 #39,2,482000,15,819400
366,107,18,Bánh tráng trộn,8,43000,0,344000
367,107,45,Xiaomi 14T #45,7,867000,15,5158650
368,108,39,Samsung Galaxy A55 #39,5,482000,0,2410000
369,108,36,Nước cam #36,8,9000,0,72000
370,108,7,Nước chanh,8,645000,0,5160000
371,108,26,Xiaomi 14T,10,263000,5,2498500
372,109,10,Xôi gà,5,297000,0,1485000
373,109,45,Xiaomi 14T #45,1,867000,0,867000
374,110,15,Cháo sườn,5,442000,0,2210000
375,110,1,Cà phê đen,6,631000,5,3596700
376,110,6,Trà sữa trân châu,10,77000,0,770000
377,110,39,Samsung Galaxy A55 #39,9,482000,15,3687300
378,111,39,Samsung Galaxy A55 #39,8,482000,0,3856000
379,112,9,Bánh mì thịt,5,528000,15,2244000
380,112,38,iPhone 15 #38,4,190000,0,760000
381,112,36,Nước cam #36,9,9000,0,81000
382,112,60,Ốp lưng điện thoại #60,7,337000,15,2005150
383,112,47,Chè đậu đỏ #47,4,710000,0,2840000
384,112,39,Samsung Galaxy A55 #39,7,482000,0,3374000
385,113,6,Trà sữa trân châu,1,77000,15,65450
386,113,20,Nem chua,10,704000,0,7040000
387,114,5,Sinh tố bơ,6,570000,15,2907000
388,114,6,Trà sữa trân châu,1,77000,5,73150
389,114,36,Nước cam #36,2,9000,0,18000
390,114,7,Nước chanh,9,645000,5,5514750
391,115,5,Sinh tố bơ,3,570000,0,1710000
392,115,48,Kính cường lực #48,3,245000,15,624750
393,115,6,Trà sữa trân châu,1,77000,0,77000
394,115,25,Samsung Galaxy A55,2,564000,5,1071600
395,116,24,iPhone 15,7,26000,0,182000
396,116,8,Soda chanh leo,2,1004000,15,1706800
397,116,20,Nem chua,10,704000,10,6336000
398,116,44,OPPO Reno12 #44,3,1171000,0,3513000
399,116,36,Nước cam #36,4,9000,0,36000
400,117,17,Khoai tây chiên,4,447000,10,1609200
401,117,38,iPhone 15 #38,1,190000,0,190000
402,117,60,Ốp lưng điện thoại #60,2,337000,15,572900
403,117,45,Xiaomi 14T #45,10,867000,5,8236500
404,118,28,Vivo V30,7,437000,15,2600150
405,119,25,Samsung Galaxy A55,10,564000,0,5640000
406,119,18,Bánh tráng trộn,5,43000,0,215000
407,119,6,Trà sữa trân châu,7,77000,0,539000
408,119,49,Bánh cuốn #49,9,781000,0,7029000
409,120,51,iPhone 15 #51,1,325000,0,325000
410,120,24,iPhone 15,2,26000,0,52000
411,120,47,Chè đậu đỏ #47,8,710000,5,5396000
412,120,21,Bánh flan,3,557000,0,1671000
413,120,27,OPPO Reno12,1,556000,0,556000
414,121,6,Trà sữa trân châu,3,77000,0,231000
415,121,10,Xôi gà,1,297000,5,282150
416,121,7,Nước chanh,9,645000,0,5805000
417,121,59,Nem chua #59,2,194000,0,388000
418,122,35,Kính cường lực,4,490000,15,1666000
419,122,24,iPhone 15,7,26000,0,182000
420,122,11,Phở bò,7,104000,0,728000
421,122,60,Ốp lưng điện thoại #60,2,337000,5,640300
422,122,59,Nem chua #59,10,194000,5,1843000
423,122,7,Nước chanh,1,645000,5,612750
424,123,47,Chè đậu đỏ #47,6,710000,0,4260000
425,123,20,Nem chua,4,704000,0,2816000
426,124,47,Chè đậu đỏ #47,8,710000,5,5396000
427,125,17,Khoai tây chiên,4,447000,10,1609200
428,125,24,iPhone 15,8,26000,5,197600
429,125,9,Bánh mì thịt,5,528000,0,2640000
430,125,43,Xôi gà #43,7,390000,15,2320500
431,125,49,Bánh cuốn #49,4,781000,0,3124000
432,125,44,OPPO Reno12 #44,6,1171000,5,6674700
433,126,6,Trà sữa trân châu,8,77000,15,523600
434,127,10,Xôi gà,1,297000,15,252450
435,127,45,Xiaomi 14T #45,7,867000,0,6069000
436,127,49,Bánh cuốn #49,3,781000,0,2343000
437,127,25,Samsung Galaxy A55,5,564000,0,2820000
438,127,9,Bánh mì thịt,2,528000,0,1056000
439,127,27,OPPO Reno12,8,556000,15,3780800
440,128,47,Chè đậu đỏ #47,8,710000,0,5680000
441,129,8,Soda chanh leo,7,1004000,15,5973800
442,130,59,Nem chua #59,6,194000,0,1164000
443,130,21,Bánh flan,2,557000,5,1058300
444,130,9,Bánh mì thịt,6,528000,5,3009600
445,130,36,Nước cam #36,10,9000,0,90000
446,130,7,Nước chanh,6,645000,0,3870000
447,130,26,Xiaomi 14T,3,263000,15,670650
448,131,59,Nem chua #59,8,194000,15,1319200
449,131,11,Phở bò,10,104000,15,884000
450,132,27,OPPO Reno12,6,556000,5,3169200
451,132,7,Nước chanh,8,645000,10,4644000
452,132,8,Soda chanh leo,9,1004000,0,9036000
453,132,38,iPhone 15 #38,8,190000,15,1292000
454,133,9,Bánh mì thịt,2,528000,0,1056000
455,133,41,Mì Quảng #41,3,15000,0,45000
456,133,18,Bánh tráng trộn,2,43000,15,73100
457,133,28,Vivo V30,3,437000,5,1245450
458,134,59,Nem chua #59,1,194000,0,194000
459,134,13,Cơm gà,4,128000,0,512000
460,134,48,Kính cường lực #48,1,245000,0,245000
461,134,37,Cáp sạc USB-C #37,9,444000,15,3396600
462,134,43,Xôi gà #43,6,390000,5,2223000
463,134,24,iPhone 15,10,26000,0,260000
464,135,47,Chè đậu đỏ #47,5,710000,0,3550000
465,135,33,Pin dự phòng 10000mAh,8,379000,0,3032000
466,135,13,Cơm gà,5,128000,0,640000
467,135,17,Khoai tây chiên,3,447000,0,1341000
468,136,18,Bánh tráng trộn,4,43000,0,172000
469,136,15,Cháo sườn,1,442000,0,442000
470,136,17,Khoai tây chiên,10,447000,0,4470000
471,137,35,Kính cường lực,6,490000,0,2940000
472,138,41,Mì Quảng #41,8,15000,0,120000
473,139,28,Vivo V30,10,437000,15,3714500
474,139,48,Kính cường lực #48,8,245000,0,1960000
475,139,15,Cháo sườn,2,442000,15,751400
476,140,41,Mì Quảng #41,10,15000,0,150000
477,141,57,Ốp lưng điện thoại #57,5,16000,0,80000
478,141,24,iPhone 15,1,26000,0,26000
479,142,51,iPhone 15 #51,7,325000,0,2275000
480,142,7,Nước chanh,7,645000,0,4515000
481,142,38,iPhone 15 #38,1,190000,0,190000
482,142,41,Mì Quảng #41,6,15000,0,90000
483,142,15,Cháo sườn,5,442000,5,2099500
484,143,17,Khoai tây chiên,3,447000,10,1206900
485,143,44,OPPO Reno12 #44,10,1171000,0,11710000
486,143,43,Xôi gà #43,3,390000,0,1170000
487,144,39,Samsung Galaxy A55 #39,7,482000,0,3374000
488,144,9,Bánh mì thịt,9,528000,5,4514400
489,144,1,Cà phê đen,10,631000,0,6310000
490,144,43,Xôi gà #43,4,390000,0,1560000
491,144,27,OPPO Reno12,7,556000,0,3892000
492,145,47,Chè đậu đỏ #47,5,710000,15,3017500
493,145,24,iPhone 15,8,26000,0,208000
494,145,5,Sinh tố bơ,5,570000,5,2707500
495,145,1,Cà phê đen,3,631000,5,1798350
496,145,15,Cháo sườn,4,442000,0,1768000
497,145,13,Cơm gà,2,128000,0,256000
498,146,44,OPPO Reno12 #44,9,1171000,15,8958150
499,146,26,Xiaomi 14T,10,263000,0,2630000
500,146,48,Kính cường lực #48,5,245000,0,1225000
501,146,11,Phở bò,10,104000,0,1040000
502,146,38,iPhone 15 #38,3,190000,0,570000
503,147,37,Cáp sạc USB-C #37,2,444000,10,799200
504,147,7,Nước chanh,4,645000,15,2193000
505,147,28,Vivo V30,3,437000,0,1311000
506,147,57,Ốp lưng điện thoại #57,10,16000,0,160000
507,148,38,iPhone 15 #38,9,190000,0,1710000
508,148,10,Xôi gà,6,297000,5,1692900
509,148,37,Cáp sạc USB-C #37,7,444000,0,3108000
510,148,15,Cháo sườn,3,442000,0,1326000
511,148,1,Cà phê đen,4,631000,0,2524000
512,148,8,Soda chanh leo,9,1004000,0,9036000
513,149,60,Ốp lưng điện thoại #60,3,337000,0,1011000
514,149,11,Phở bò,8,104000,0,832000
515,149,43,Xôi gà #43,5,390000,15,1657500
516,149,47,Chè đậu đỏ #47,6,710000,0,4260000
517,149,8,Soda chanh leo,8,1004000,10,7228800
518,149,7,Nước chanh,9,645000,0,5805000
519,150,15,Cháo sườn,2,442000,5,839800
520,150,24,iPhone 15,2,26000,0,52000
521,150,33,Pin dự phòng 10000mAh,1,379000,5,360050
522,150,13,Cơm gà,7,128000,0,896000
